timestamp,open,close,high,low,volume,amount
2021-01-01 20:29:00,29209.2,29221.7,29222.3,29206.2,0.31509942,9206.358933573
2021-01-01 20:28:00,29199.5,29209.1,29212.6,29199.5,1.05478433,30802.427247018
2021-01-01 20:27:00,29213.8,29203.2,29215.5,29201.6,0.91545941,26736.605279757
2021-01-01 20:26:00,29214.8,29208.4,29226.4,29199.9,0.94570584,27629.311577147
2021-01-01 20:25:00,29225,29219.8,29240.1,29213.9,0.75951569,22200.150495829
2021-01-01 20:24:00,29200.1,29224,29224,29199,0.97625526,28507.602042515
2021-01-01 20:23:00,29205,29202.4,29205,29189.1,1.51320836,44178.611757202
2021-01-01 20:22:00,29192.5,29204.9,29204.9,29192.5,1.08899269,31795.95306886
2021-01-01 20:21:00,29194.3,29192.1,29201,29187.2,1.57488592,45984.679629343
2021-01-01 20:20:00,29195.5,29194.4,29205.9,29194.3,0.15826491,4620.946076999
2021-01-01 20:19:00,29209.6,29196.9,29209.8,29188.5,0.32475132,9483.225548974
2021-01-01 20:18:00,29164.7,29209.6,29235.5,29164.7,2.75379765,80412.836361388
2021-01-01 20:17:00,29157,29164.8,29164.8,29144.7,0.55491645,16179.97451997
2021-01-01 20:16:00,29158.8,29157.1,29159.9,29155.1,0.40309893,11753.671477124
2021-01-01 20:15:00,29157.5,29158.8,29160.6,29141,2.07486021,60470.920665193
2021-01-01 20:14:00,29139.6,29154.6,29154.9,29135.8,0.75322792,21957.836227361
2021-01-01 20:13:00,29141,29144.8,29148.6,29132.2,0.80591827,23486.553638976
2021-01-01 20:12:00,29156.2,29140.9,29156.2,29128.5,1.06867834,31147.373894747
2021-01-01 20:11:00,29115.9,29156.1,29156.2,29115.9,0.73627654,21452.284589802
2021-01-01 20:10:00,29119.8,29115.9,29119.9,29107.7,0.7091534,20644.164182094
2021-01-01 20:09:00,29117.4,29119.8,29122.5,29099.2,0.83180453,24213.243793539
2021-01-01 20:08:00,29117.7,29117.4,29119.4,29080,3.90632468,113661.356070939
2021-01-01 20:07:00,29121.4,29117.7,29136.8,29117.6,1.94657864,56703.50355655
2021-01-01 20:06:00,29134.2,29121.5,29142.7,29098.8,1.09859474,31999.114867794
2021-01-01 20:05:00,29092.3,29131.3,29142,29085.7,3.2160135,93647.180123535
2021-01-01 20:04:00,29033.2,29092.2,29092.3,29017.6,1.96317291,57040.739305775
2021-01-01 20:03:00,29005.7,29025.5,29025.5,29005.7,1.76019093,51064.121296137
2021-01-01 20:02:00,28961.3,29002.5,29002.5,28957.9,1.96821129,57026.421730015
2021-01-01 20:01:00,28905.5,28961.3,28978.3,28901.5,5.43657879,157322.247715392
2021-01-01 20:00:00,29035.5,28909.9,29035.5,28890.7,6.58913525,190916.744194449
2021-01-01 19:59:00,29039.9,29035.4,29040,29020.1,1.48269039,43032.064940831
2021-01-01 19:58:00,29052.8,29040,29052.8,29014.4,1.10147286,31975.516454867
2021-01-01 19:57:00,29051.7,29052.9,29062.9,29051.7,0.60252551,17506.140957745
2021-01-01 19:56:00,29066.2,29051.7,29071.8,29051.6,1.20846032,35123.617867345
2021-01-01 19:55:00,29065.9,29066.2,29066.2,29050.6,0.59485885,17283.185972988
2021-01-01 19:54:00,29076.9,29065.9,29076.9,29065.8,0.45195769,13139.024581256
2021-01-01 19:53:00,29070.7,29081.9,29081.9,29070.7,0.55612533,16167.356865
2021-01-01 19:52:00,29086,29072.7,29090.4,29071.1,0.40986488,11917.852393022
